Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_1	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Brachymonas	NA
ASV_2	Bacteria	Deinococcota	Deinococci	Thermales	Thermaceae	Meiothermus	NA
ASV_3	Bacteria	Proteobacteria	Gammaproteobacteria	Salinisphaerales	Solimonadaceae	Solimonas	flava
ASV_4	Bacteria	Nitrospirota	Thermodesulfovibrionia	NA	NA	NA	NA
ASV_5	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Rhodopseudomonas	NA
ASV_6	Bacteria	Nitrospirota	Thermodesulfovibrionia	NA	NA	NA	NA
ASV_7	Bacteria	Firmicutes	Thermoanaerobacteria	Thermoanaerobacterales	SRB2	NA	NA
ASV_8	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium	nitrogenifigens
ASV_9	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Ottowia	NA
ASV_10	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Hydrogenophaga	aquatica
ASV_11	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	NA
ASV_12	Bacteria	Firmicutes	Dethiobacteria	Dethiobacterales	Dethiobacteraceae	Dethiobacter	NA
ASV_13	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Porphyrobacter	NA
ASV_14	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	NA	NA
ASV_15	Bacteria	Firmicutes	Thermoanaerobacteria	Thermoanaerobacterales	SRB2	NA	NA
ASV_16	Bacteria	Firmicutes	Desulfotomaculia	Ammonifexales	Desulforudaceae	Candidatus_Desulforudis	NA
ASV_17	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Anaerolineaceae_UCG-001	NA
ASV_18	Bacteria	Acetothermia	Acetothermiia	NA	NA	NA	NA
ASV_19	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylococcus	NA
ASV_20	Bacteria	Acetothermia	Acetothermiia	NA	NA	NA	NA
ASV_21	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter	NA
ASV_22	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Noviherbaspirillum	NA
ASV_23	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Delftia	NA
ASV_24	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Sulfuritalea	NA
ASV_25	Bacteria	Firmicutes	Dethiobacteria	Dethiobacterales	Dethiobacteraceae	Dethiobacter	NA
ASV_26	Bacteria	Nitrospirota	Nitrospiria	Nitrospirales	Nitrospiraceae	Nitrospira	NA
ASV_27	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Roseomonas	NA
ASV_28	Bacteria	Proteobacteria	Gammaproteobacteria	Nitrosococcales	Nitrosococcaceae	wb1-P19	NA
ASV_29	Bacteria	Proteobacteria	Alphaproteobacteria	Zavarziniales	Zavarziniaceae	Zavarzinia	NA
ASV_30	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Denitratisoma	NA
ASV_31	Bacteria	Acetothermia	Acetothermiia	NA	NA	NA	NA
ASV_32	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Elioraeaceae	Elioraea	NA
